Question Type,Domain,Language,Difficulty Level,Question Text,Correct Answer,First Answer,Is Correct,Second Answer,Is Correct,Third Answer,Is Correct,Fourth Answer,Is Correct
Open Ended,Software Testing (QA Automation),Romanian,Medium,Ce este un instrument de build și cum este folosit în testarea automatizată?,"Un instrument de build automatizează procesul de creare a aplicațiilor executabile din codul sursă. În testarea automatizată, instrumente precum Maven sau Gradle gestionează dependențele și construiesc proiectele de automatizare.",,,,,,,,
Open Ended,Software Testing (QA Automation),Romanian,Medium,Cum vă întrețineți scripturile de automatizare?,"Întrețineți scripturile respectând standardele de codare, folosind sisteme de control al versiunilor, modularizând codul cu funcții sau clase, refactorizând regulat și menținând documentația actualizată.",,,,,,,,
Open Ended,Software Testing (QA Automation),Romanian,Medium,Ce este testarea automatizată a API-urilor și ce instrumente pot fi folosite?,"Testarea automatizată a API-urilor implică verificarea programatică a API-urilor și serviciilor web. Instrumente precum Postman, SoapUI sau REST-assured permit testerilor să automatizeze testarea API-urilor.",,,,,,,,
Open Ended,Software Testing (QA Automation),Romanian,Medium,Explicați cum ați integra testele de automatizare într-un pipeline CI/CD.,Integrați testele de automatizare cu CI/CD configurând serverul de build (precum Jenkins) pentru a declanșa execuția testelor după commit-urile de cod și integrând rapoarte și notificări în cadrul pipeline-ului.,,,,,,,,
Open Ended,Software Testing (QA Automation),Romanian,Medium,Care este rolul unui test harness în testarea automatizată?,"Un test harness furnizează mediul necesar, inclusiv software, date de test și configurare, pentru a executa testele automatizate și a înregistra rezultatele, permițând testarea repetabilă și consistentă.",,,,,,,,
Open Ended,Software Testing (QA Automation),Romanian,Medium,Descrieți cum ați testa aplicațiile mobile folosind automatizarea.,"Testați aplicațiile mobile folosind instrumente de automatizare precum Appium sau Espresso, care permit scrierea de scripturi pentru a interacționa cu elementele UI mobile pe diferite platforme precum Android și iOS.",,,,,,,,
Open Ended,Software Testing (QA Automation),Romanian,Medium,Ce este un framework hibrid în testarea automatizată?,"Un framework hibrid combină caracteristici ale mai multor framework-uri (precum data-driven și keyword-driven) pentru a valorifica avantajele lor, îmbunătățind flexibilitatea și mentenabilitatea.",,,,,,,,
Open Ended,Software Testing (QA Automation),Romanian,Medium,Cum gestionați pop-up-urile și alertele în scripturile de automatizare?,"Gestionați pop-up-urile și alertele comutând la alertă folosind metodele API ale instrumentului de automatizare (de exemplu, 'driver.switchTo().alert()' în Selenium) și efectuând acțiuni precum acceptare, respingere sau preluare text.",,,,,,,,
Open Ended,Software Testing (QA Automation),Romanian,Medium,Care sunt câteva bune practici pentru scrierea scripturilor de testare automatizate eficiente?,"Bune practici includ menținerea testelor independente, folosirea de nume descriptive, implementarea unei sincronizări adecvate, gestionarea excepțiilor, evitarea valorilor hard-coded, reutilizarea codului și menținerea unei raportări clare.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Care este diferența dintre verificare și validare în testare?,"Verificarea asigură că produsul este construit conform cerințelor și specificațiilor de design (Construim produsul corect?), în timp ce validarea verifică dacă produsul îndeplinește nevoile și așteptările utilizatorului (Construim produsul potrivit?).",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Explicați conceptul de analiză a valorilor de frontieră cu un exemplu.,"Analiza valorilor de frontieră este o tehnică de testare care se concentrează pe valorile de la marginile domeniilor de intrare. De exemplu, dacă un câmp de intrare acceptă numere de la 1 la 100, testele ar trebui să includă valori precum 0, 1, 100 și 101.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este partiționarea echivalentă și cum ajută în proiectarea cazurilor de testare?,"Partiționarea echivalentă împarte datele de intrare în partiții de date echivalente din care se pot deriva cazuri de testare, reducând numărul de cazuri de testare, menținând în același timp acoperirea.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Descrieți rolul unui document de strategie de testare.,"O strategie de testare conturează abordarea de testare, obiectivele, resursele, calendarul și sfera de cuprindere. Servește ca ghid pentru activitățile de testare și asigură alinierea cu obiectivele proiectului.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este un plan de testare și care sunt componentele sale principale?,"Un plan de testare este un document detaliat care descrie sfera, abordarea, resursele și calendarul activităților de testare. Componentele principale includ obiectivele testării, resursele, calendarele, mediul de testare, criteriile de testare și livrabilele.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este testarea bazată pe risc și de ce este importantă?,"Testarea bazată pe risc prioritizează eforturile de testare pe baza riscului de eșec și a impactului acestuia. Asigură că funcționalitățile critice sunt testate temeinic, optimizând resursele și timpul.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Cum determinați când să opriți testarea?,"Testarea poate fi oprită când criteriile de ieșire sunt îndeplinite, cum ar fi atingerea unui nivel definit de acoperire, rata de găsire a defectelor scade sub un prag, termenele sunt atinse sau funcționalitățile critice sunt stabile.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este revizuirea cazurilor de testare și de ce este necesară?,"O revizuire a cazurilor de testare implică evaluarea cazurilor de testare pentru corectitudine, completitudine și conformitate cu standardele. Asigură eficacitatea cazurilor de testare și previne erorile în timpul execuției.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Explicați diferența dintre scenarii de testare și cazuri de testare.,"Scenariile de testare sunt descrieri de nivel înalt a ceea ce trebuie testat, concentrându-se pe funcționalitate, în timp ce cazurile de testare sunt pași detaliați care specifică cum să se testeze, incluzând intrări, proceduri și rezultate așteptate.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este testarea de tip cutie gri (gray-box testing)?,"Testarea de tip cutie gri este o combinație de abordări de testare cutie neagră și cutie albă, unde testerul are cunoștințe limitate despre funcționarea internă a aplicației, permițând o testare mai informată.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este testarea ad-hoc și când ați utiliza-o?,"Testarea ad-hoc este o abordare informală de testare fără planificare sau documentare, utilizată pentru a găsi rapid defecte prin testare aleatorie, fiind adesea aplicată când timpul este limitat.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Cum efectuați testarea de compatibilitate manual?,"Efectuați testarea de compatibilitate manual prin executarea aplicației pe diferite medii (browsere, sisteme de operare, hardware) pentru a asigura funcționalitatea și aspectul consistent.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este testarea end-to-end și cum diferă de testarea sistemului?,"Testarea end-to-end validează întregul flux de lucru al unei aplicații, incluzând interfețe externe și interacțiuni cu alte sisteme, în timp ce testarea sistemului se concentrează pe sistemul integrat conform cerințelor.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Explicați scopul unei întâlniri de triere a defectelor.,"O întâlnire de triere a defectelor implică părțile interesate care revizuiesc și prioritizează defectele pe baza severității, impactului și resurselor, asigurând că problemele critice sunt abordate prompt.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Care este rolul unei matrice de trasabilitate în testarea manuală?,"O matrice de trasabilitate map-ează cazurile de testare la cerințe, asigurând că toate cerințele sunt acoperite de teste și ajutând la identificarea testelor lipsă sau redundante.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Cum asigurați acoperirea testelor în testarea manuală?,"Asigurați acoperirea testelor prin crearea unei matrice de trasabilitate, revizuirea atentă a cerințelor, proiectarea de cazuri de testare cuprinzătoare și utilizarea metricilor de acoperire pentru a măsura extinderea testării.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Care este diferența dintre testarea pozitivă și cea negativă?,"Testarea pozitivă verifică dacă sistemul funcționează conform așteptărilor cu intrări valide, în timp ce testarea negativă asigură că sistemul gestionează grațios intrările invalide sau neașteptate.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Descrieți cum ați testa localizarea manual.,"Testați manual localizarea prin verificarea faptului că software-ul se adaptează corect la diferite limbi și regiuni, verificând traducerile, formatele de date, moneda și adecvarea culturală.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce sunt artefactele de testare și de ce sunt importante?,"Artefactele de testare sunt documente și instrumente produse în timpul procesului de testare, cum ar fi planuri de testare, cazuri, scripturi, rapoarte și jurnale de defecte. Ele oferă documentație, facilitează comunicarea și susțin procesele de audit și revizuire.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este un punct de durere în testare și cum îl abordați?,"Un punct de durere este o problemă sau ineficiență recurentă în procesul de testare. Îl abordați prin analizarea cauzei principale, implementarea de îmbunătățiri ale procesului, formare sau adoptarea unor instrumente mai bune.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Cum prioritizați cazurile de testare în testarea manuală?,"Prioritizați cazurile de testare pe baza factorilor precum riscul, criticitatea funcțiilor, frecvența de utilizare, cerințele de reglementare și impactul asupra clientului.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Explicați diferența dintre testarea alfa și testarea beta.,Testarea alfa este efectuată de echipe interne la sediul dezvoltatorului pentru a identifica bug-uri înainte de lansarea către utilizatorii reali. Testarea beta este realizată de utilizatori reali într-un mediu real pentru a colecta feedback și a descoperi probleme care nu au fost găsite în timpul testării alfa.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este testarea de conformitate și când este necesară?,"Testarea de conformitate verifică faptul că software-ul aderă la legi, reglementări, standarde sau specificații. Este necesară atunci când software-ul trebuie să îndeplinească cerințe externe precum standarde industriale sau reglementări legale.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Cum efectuați o revizuire colegială a cazurilor de testare?,"Efectuați o revizuire colegială prin a avea colegi care examinează cazurile de testare pentru acuratețe, completitudine și conformitate cu standardele, oferind feedback și sugerând îmbunătățiri.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este un model de strategie de testare euristică?,"Un model de strategie de testare euristică oferă o abordare flexibilă folosind tehnici bazate pe experiență pentru a ghida planificarea și execuția testelor, adaptându-se la contextul și provocările specifice ale proiectului.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Explicați conceptul de management al datelor de testare.,"Managementul datelor de testare implică crearea, menținerea și furnizarea datelor necesare pentru testare, asigurând că cazurile de testare au date adecvate și valide pentru a fi executate eficient.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este testarea exploratorie și cum diferă de testarea scriptată?,"Testarea exploratorie implică proiectarea și execuția simultană a testelor fără cazuri de testare predefinite, bazându-se pe intuiția și experiența testerului. Testarea scriptată urmează pași și proceduri predefinite.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Cum gestionați cerințe incomplete sau în schimbare în timpul testării?,"Gestionați cerințele incomplete sau în schimbare menținând flexibilitatea în planificarea testelor, colaborând îndeaproape cu părțile interesate, folosind testarea exploratorie și actualizând cazurile de testare pe măsură ce devin disponibile noi informații.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Ce este testarea de tip 'monkey testing' și este eficientă?,"'Monkey testing' implică introducerea de date și interacțiuni aleatorii în sistem pentru a vedea dacă acesta se blochează sau se comportă neașteptat. Este o formă de testare aleatorie care poate descoperi probleme neașteptate, dar nu este sistematică.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Medium,Descrieți cum ați testa manual o interfață de utilizator.,"Testați manual o interfață de utilizator prin verificarea elementelor vizuale, a layout-ului, a navigației, a responsivității, a consistenței, a accesibilității și a respectării standardelor de design pe diferite dispozitive și rezoluții.",,,,,,,,
Single Choice,Software Testing (QA),English,Easy,What is the primary objective of Quality Assurance in software development?,A,To ensure the software meets specified requirements,TRUE,To fix defects after software release,FALSE,To design user interfaces,FALSE,To write code for new features,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following is not a type of software testing?,C,Unit Testing,FALSE,Integration Testing,FALSE,Compiling,TRUE,System Testing,FALSE
Single Choice,Software Testing (QA),English,Easy,At which phase of the Software Development Life Cycle does Quality Assurance begin?,C,Design Phase,FALSE,Testing Phase,FALSE,Requirement Analysis Phase,TRUE,Maintenance Phase,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following best describes Black-box testing?,A,Testing based on the internal logic of the code,FALSE,Testing without any knowledge of the internal workings,TRUE,Testing performed by developers,FALSE,Testing individual units of code,FALSE
Single Choice,Software Testing (QA),English,Easy,What does 'bug life cycle' refer to?,A,The phases a bug goes through from identification to closure,TRUE,The lifespan of software products,FALSE,The period bugs remain in the system,FALSE,The time it takes to fix a bug,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following is a non-functional testing type?,C,Regression Testing,FALSE,Smoke Testing,FALSE,Performance Testing,TRUE,Unit Testing,FALSE
Single Choice,Software Testing (QA),English,Easy,What is the purpose of a Test Case?,C,To outline the code structure,FALSE,To define user requirements,FALSE,To describe the steps to validate a particular feature,TRUE,To manage project timelines,FALSE
Single Choice,Software Testing (QA),English,Easy,Which tool is commonly used for bug tracking?,B,Microsoft Word,FALSE,JIRA,TRUE,Adobe Photoshop,FALSE,Slack,FALSE
Single Choice,Software Testing (QA),English,Easy,What is Regression Testing?,B,Testing performed to evaluate the compliance of a system,FALSE,Testing to ensure new code changes do not adversely affect existing functionality,TRUE,Testing individual units or components,FALSE,Testing done before accepting a project,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following is a white-box testing technique?,C,Boundary Value Analysis,FALSE,Equivalence Partitioning,FALSE,Control Flow Testing,TRUE,Error Guessing,FALSE
Single Choice,Software Testing (QA),English,Easy,What does SDLC stand for in software development?,C,Software Design Life Cycle,FALSE,System Development Life Code,FALSE,Software Development Life Cycle,TRUE,System Design Language Code,FALSE
Single Choice,Software Testing (QA),English,Easy,What is the role of a QA Test Plan?,A,To document the test objectives and resources,TRUE,To outline the marketing strategy,FALSE,To list hardware requirements,FALSE,To manage customer feedback,FALSE
Single Choice,Software Testing (QA),English,Easy,Which testing level is performed first?,C,Integration Testing,FALSE,System Testing,FALSE,Unit Testing,TRUE,Acceptance Testing,FALSE
Single Choice,Software Testing (QA),English,Easy,What is the main focus of Acceptance Testing?,C,Finding bugs in the code,FALSE,Ensuring system performance,FALSE,Validating software meets business requirements,TRUE,Checking code quality,FALSE
Single Choice,Software Testing (QA),English,Easy,"In Black-box testing, testers are concerned with which of the following?",B,Internal code structure,FALSE,Software functionality,TRUE,Database schemas,FALSE,Code syntax,FALSE
Single Choice,Software Testing (QA),English,Easy,What is a Test Suite?,A,A collection of test cases,TRUE,A set of development tools,FALSE,A group of software engineers,FALSE,A type of software license,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following is an example of a defect tracking tool?,C,Excel Spreadsheet,FALSE,GitHub,FALSE,Bugzilla,TRUE,Notepad,FALSE
Single Choice,Software Testing (QA),English,Easy,Which testing method involves executing the software with the intent of finding errors?,B,Static Testing,FALSE,Dynamic Testing,TRUE,Code Review,FALSE,Requirement Analysis,FALSE
Single Choice,Software Testing (QA),English,Easy,What is the purpose of Smoke Testing?,B,To perform exhaustive testing,FALSE,To ensure critical functionalities work,TRUE,To test system under load,FALSE,To validate security features,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following describes Validation in QA?,B,Ensuring the product is built right,FALSE,Ensuring the right product is built,TRUE,Managing project timelines,FALSE,Defining user requirements,FALSE
Single Choice,Software Testing (QA),English,Easy,What is the key difference between QA and QC?,A,"QA focuses on preventing defects, QC focuses on identifying defects",TRUE,"QA is about coding, QC is about testing",FALSE,There is no difference,FALSE,QA is done after QC,FALSE
Single Choice,Software Testing (QA),English,Easy,What does 'Agile' refer to in software development?,B,A rigid development process,FALSE,An iterative and incremental approach,TRUE,A type of programming language,FALSE,A testing methodology,FALSE
Single Choice,Software Testing (QA),English,Easy,In which document are test cases typically detailed?,C,Test Plan,FALSE,Test Strategy,FALSE,Test Case Specification,TRUE,Requirement Document,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following is a common Test Management tool?,C,Photoshop,FALSE,Selenium,FALSE,TestLink,TRUE,Visual Studio,FALSE
Single Choice,Software Testing (QA),English,Easy,What is Boundary Value Analysis?,A,Testing at the boundaries between partitions,TRUE,Testing random values,FALSE,Testing only the middle values,FALSE,Testing without a plan,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following is an example of functional testing?,C,Usability Testing,FALSE,Security Testing,FALSE,Regression Testing,TRUE,Performance Testing,FALSE
Single Choice,Software Testing (QA),English,Easy,What does 'alpha testing' refer to?,D,Testing performed by end-users,FALSE,Security vulnerability assessment,FALSE,Automated testing scripts,FALSE,In-house testing by developers and QA team,TRUE
Single Choice,Software Testing (QA),English,Easy,What is the main purpose of Load Testing?,B,To check the software's usability,FALSE,To evaluate system performance under load,TRUE,To verify security features,FALSE,To test user interface designs,FALSE
Single Choice,Software Testing (QA),English,Easy,What is Stress Testing?,B,Testing under normal conditions,FALSE,Testing beyond normal operational capacity,TRUE,Testing with valid data inputs,FALSE,Testing the code syntax,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following is a static testing technique?,D,Unit Testing,FALSE,Integration Testing,FALSE,System Testing,FALSE,Code Review,TRUE
Single Choice,Software Testing (QA),English,Easy,What is the role of a QA analyst?,C,To write code for new features,FALSE,To manage financial resources,FALSE,To plan and execute tests to ensure software quality,TRUE,To market the product,FALSE
Single Choice,Software Testing (QA),English,Easy,What is Equivalence Partitioning?,A,Dividing input data into equivalent partitions,TRUE,Testing all possible input combinations,FALSE,Testing with invalid data only,FALSE,Randomly selecting test cases,FALSE
Single Choice,Software Testing (QA),English,Easy,What does a Test Strategy document define?,A,The testing approach and objectives,TRUE,The software's UI design,FALSE,The source code version,FALSE,The marketing plan,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following is not an automation testing tool?,D,Selenium,FALSE,QTP/UFT,FALSE,TestComplete,FALSE,JIRA,TRUE
Single Choice,Software Testing (QA),English,Easy,What is the main benefit of automation testing?,B,Eliminates need for test planning,FALSE,Increases test coverage and efficiency,TRUE,Requires no maintenance,FALSE,Reduces initial investment,FALSE
Single Choice,Software Testing (QA),English,Easy,Which phase comes after 'Testing' in the SDLC?,A,Deployment,TRUE,Design,FALSE,Analysis,FALSE,Planning,FALSE
Single Choice,Software Testing (QA),English,Easy,What is the main focus of Usability Testing?,A,Assessing the user interface and user experience,TRUE,Checking system performance,FALSE,Ensuring code quality,FALSE,Validating security protocols,FALSE
Single Choice,Software Testing (QA),English,Easy,What does 'Defect Density' measure in QA?,D,Number of users affected,FALSE,Severity of defects,FALSE,Time taken to fix defects,FALSE,Number of defects per unit size of software,TRUE
Single Choice,Software Testing (QA),English,Easy,What is 'Test Coverage'?,A,Percentage of code tested during testing,TRUE,Number of test cases executed,FALSE,Time spent on testing,FALSE,Defects found per test case,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following is considered a good practice in QA?,B,Skipping test cases to save time,FALSE,Updating test cases based on changes,TRUE,Ignoring minor bugs,FALSE,Testing without a plan,FALSE
Single Choice,Software Testing (QA),English,Easy,What is 'Exploratory Testing'?,B,Testing based on predefined test cases,FALSE,"Simultaneous learning, test design, and execution",TRUE,Automated testing using scripts,FALSE,Testing focusing only on UI,FALSE
Single Choice,Software Testing (QA),English,Easy,What does 'Continuous Integration' involve in QA?,D,Deploying software after development,FALSE,Ignoring failed tests,FALSE,Testing only at the end of development,FALSE,Merging all developers' work several times a day,TRUE
Single Choice,Software Testing (QA),English,Easy,Which of the following is a performance testing tool?,A,LoadRunner,TRUE,Photoshop,FALSE,Excel,FALSE,WordPress,FALSE
Single Choice,Software Testing (QA),English,Easy,What is 'End-to-End Testing'?,B,Testing individual components only,FALSE,Testing the complete flow of an application,TRUE,Testing only the backend,FALSE,Testing in production environment,FALSE
Single Choice,Software Testing (QA),English,Easy,What is 'Beta Testing'?,A,Testing by end-users in a real environment,TRUE,Testing by developers only,FALSE,Testing in the development environment,FALSE,Automated unit testing,FALSE
Single Choice,Software Testing (QA),English,Easy,What is the purpose of a 'Test Environment'?,A,To replicate the production environment for testing,TRUE,To host customer data,FALSE,To develop new features,FALSE,To manage user logins,FALSE
Single Choice,Software Testing (QA),English,Easy,Which of the following defines 'Severity' in bug tracking?,D,The time the defect was found,FALSE,The frequency of the defect,FALSE,The ease of fixing the defect,FALSE,The impact level of a defect on the system,TRUE
Single Choice,Software Testing (QA),English,Easy,What is 'Monkey Testing' in QA?,A,Random testing without any predefined test cases,TRUE,Testing only the user interface,FALSE,Unit testing by developers,FALSE,Security testing of applications,FALSE
Single Choice,Software Testing (QA),English,Easy,What does 'Test Automation Framework' refer to?,A,A set of guidelines for writing test cases,TRUE,A tool for manual testing,FALSE,A programming language,FALSE,A database schema,FALSE
Single Choice,Software Testing (QA),English,Easy,Which methodology uses sprints and daily stand-up meetings?,B,Waterfall,FALSE,Agile,TRUE,V-Model,FALSE,Spiral,FALSE
Single Choice,Software Testing (QA),English,Easy,What is 'Pair Testing'?,D,Testing in different environments,FALSE,Testing two applications simultaneously,FALSE,Developer and tester test together remotely,FALSE,Two testers work together at one workstation,TRUE
Single Choice,Software Testing (QA),English,Easy,Which of the following is not a component of a Test Plan?,C,Test objectives,FALSE,Resource assignments,FALSE,Marketing strategies,TRUE,Test deliverables,FALSE
Single Choice,Software Testing (QA),English,Easy,What is 'Ad-hoc Testing'?,B,Testing with a formal plan,FALSE,Informal testing without planning or documentation,TRUE,Automated testing scripts,FALSE,Testing performed at scheduled intervals,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care este obiectivul principal al Asigurării Calității în dezvoltarea software-ului?,A,Să se asigure că software-ul îndeplinește cerințele specificate,TRUE,Să corecteze defectele după lansarea software-ului,FALSE,Să proiecteze interfețe de utilizator,FALSE,Să scrie cod pentru funcționalități noi,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care dintre următoarele nu este un tip de testare software?,C,Testare unități,FALSE,Testare integrare,FALSE,Compilare,TRUE,Testare sistem,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,În ce fază a Ciclului de Viață al Dezvoltării Software-ului începe Asigurarea Calității?,C,Faza de proiectare,FALSE,Faza de testare,FALSE,Faza de analiză a cerințelor,TRUE,Faza de mentenanță,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care dintre următoarele descrie cel mai bine testarea Black-box?,A,Testarea bazată pe logica internă a codului,FALSE,Testarea fără cunoașterea funcționării interne,TRUE,Testarea efectuată de dezvoltatori,FALSE,Testarea unităților individuale de cod,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,La ce se referă 'ciclul de viață al unui bug'?,A,Etapele prin care trece un bug de la identificare la închidere,TRUE,Durata de viață a produselor software,FALSE,Perioada în care bug-urile rămân în sistem,FALSE,Timpul necesar pentru a remedia un bug,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care dintre următoarele este un tip de testare non-funcțională?,C,Testare de regresie,FALSE,Testare smoke,FALSE,Testare de performanță,TRUE,Testare unități,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care este scopul unui Caz de Testare?,C,Să contureze structura codului,FALSE,Să definească cerințele utilizatorului,FALSE,Să descrie pașii pentru a valida o anumită funcționalitate,TRUE,Să gestioneze termenele proiectului,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Ce instrument este utilizat frecvent pentru urmărirea bug-urilor?,B,Microsoft Word,FALSE,JIRA,TRUE,Adobe Photoshop,FALSE,Slack,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Ce este Testarea de Regresie?,B,Testare efectuată pentru a evalua conformitatea unui sistem,FALSE,Testare pentru a asigura că noile modificări de cod nu afectează negativ funcționalitatea existentă,TRUE,Testare a unităților sau componentelor individuale,FALSE,Testare efectuată înainte de acceptarea unui proiect,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care dintre următoarele este o tehnică de testare White-box?,C,Analiza valorilor limită,FALSE,Împărțirea în clase de echivalență,FALSE,Testarea fluxului de control,TRUE,Ghicitul erorilor,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Ce înseamnă SDLC în dezvoltarea software-ului?,C,Ciclul de viață al designului software,FALSE,Codul de viață al dezvoltării sistemului,FALSE,Ciclul de viață al dezvoltării software,TRUE,Codul limbajului de design al sistemului,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care este rolul unui Plan de Testare QA?,A,Să documenteze obiectivele și resursele de testare,TRUE,Să contureze strategia de marketing,FALSE,Să listeze cerințele hardware,FALSE,Să gestioneze feedback-ul clienților,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Ce nivel de testare este efectuat primul?,C,Testare de integrare,FALSE,Testare de sistem,FALSE,Testare unități,TRUE,Testare de acceptanță,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care este principalul obiectiv al Testării de Acceptanță?,C,Găsirea bug-urilor în cod,FALSE,Asigurarea performanței sistemului,FALSE,Validarea că software-ul îndeplinește cerințele de business,TRUE,Verificarea calității codului,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,"În testarea Black-box, testerii sunt preocupați de care dintre următoarele?",B,Structura internă a codului,FALSE,Funcționalitatea software-ului,TRUE,Schemele bazei de date,FALSE,Sintaxa codului,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Ce este o Suită de Teste?,A,O colecție de cazuri de test,TRUE,Un set de instrumente de dezvoltare,FALSE,Un grup de ingineri software,FALSE,Un tip de licență software,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care dintre următoarele este un exemplu de instrument de urmărire a defectelor?,C,Fișier Excel,FALSE,GitHub,FALSE,Bugzilla,TRUE,Notepad,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Ce metodă de testare implică executarea software-ului cu intenția de a găsi erori?,B,Testare statică,FALSE,Testare dinamică,TRUE,Revizuire de cod,FALSE,Analiza cerințelor,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care este scopul Testării Smoke?,B,Să efectueze testare exhaustivă,FALSE,Să se asigure că funcționalitățile critice funcționează,TRUE,Să testeze sistemul sub încărcare,FALSE,Să valideze funcțiile de securitate,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care dintre următoarele descrie Validarea în QA?,B,Asigurarea că produsul este construit corect,FALSE,Asigurarea că este construit produsul corect,TRUE,Gestionarea termenelor proiectului,FALSE,Definirea cerințelor utilizatorului,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care este diferența cheie dintre QA și QC?,A,"QA se concentrează pe prevenirea defectelor, QC pe identificarea lor",TRUE,"QA este despre codare, QC despre testare",FALSE,Nu există diferență,FALSE,QA se face după QC,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,La ce se referă 'Agile' în dezvoltarea software-ului?,B,Un proces de dezvoltare rigid,FALSE,O abordare iterativă și incrementală,TRUE,Un tip de limbaj de programare,FALSE,O metodologie de testare,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,În ce document sunt detaliate de obicei cazurile de testare?,C,Plan de testare,FALSE,Strategie de testare,FALSE,Specificație de caz de test,TRUE,Document de cerințe,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care dintre următoarele este un instrument comun de Management al Testelor?,C,Photoshop,FALSE,Selenium,FALSE,TestLink,TRUE,Visual Studio,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Ce este Analiza Valorilor Limită?,A,Testarea la limitele dintre partiții,TRUE,Testarea valorilor aleatorii,FALSE,Testarea doar a valorilor medii,FALSE,Testarea fără un plan,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,Care dintre următoarele este un exemplu de testare funcțională?,C,Testare de utilizabilitate,FALSE,Testare de securitate,FALSE,Testare de regresie,TRUE,Testare de performanță,FALSE
Single Choice,Software Testing (QA),Romanian,Easy,La ce se referă 'testarea alfa'?,D,Testare efectuată de utilizatorii finali,FALSE,Evaluarea vulnerabilităților de securitate,FALSE,Scripturi de testare automate,FALSE,Testare internă de către dezvoltatori și echipa QA,TRUE
